"TIME","GEO","UNIT","ICD9CM","Value","Flag and Footnotes"
"2012","Portugal","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2012","Portugal","Per hundred thousand inhabitants","Haemodialysis","107.30",""
"2012","Portugal","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2012","Romania","Number","Transplantation of kidney and haemodialysis","14 823",""
"2012","Romania","Number","Haemodialysis","12 583",""
"2012","Romania","Number","Transplantation of kidney","2 240",""
"2012","Romania","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis","73.90",""
"2012","Romania","Per hundred thousand inhabitants","Haemodialysis","62.73",""
"2012","Romania","Per hundred thousand inhabitants","Transplantation of kidney","11.17",""
"2012","Slovakia","Number","Transplantation of kidney and haemodialysis","4 583",""
"2012","Slovakia","Number","Haemodialysis","3 240",""
"2012","Slovakia","Number","Transplantation of kidney","1 343",""
"2012","Slovakia","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis","84.75",""
"2012","Slovakia","Per hundred thousand inhabitants","Haemodialysis","59.92",""
"2012","Slovakia","Per hundred thousand inhabitants","Transplantation of kidney","24.84",""
"2012","Finland","Number","Transplantation of kidney and haemodialysis","4 385",""
"2012","Finland","Number","Haemodialysis","1 767",""
"2012","Finland","Number","Transplantation of kidney","2 618",""
"2012","Finland","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis","80.99",""
"2012","Finland","Per hundred thousand inhabitants","Haemodialysis","32.64",""
"2012","Finland","Per hundred thousand inhabitants","Transplantation of kidney","48.36",""
"2012","Iceland","Number","Transplantation of kidney and haemodialysis","217",""
"2012","Iceland","Number","Haemodialysis","76",""
"2012","Iceland","Number","Transplantation of kidney","141",""
"2012","Iceland","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis","67.66",""
"2012","Iceland","Per hundred thousand inhabitants","Haemodialysis","23.70",""
"2012","Iceland","Per hundred thousand inhabitants","Transplantation of kidney","43.96",""
"2012","Liechtenstein","Number","Transplantation of kidney and haemodialysis","0",""
"2012","Liechtenstein","Number","Haemodialysis","0",""
"2012","Liechtenstein","Number","Transplantation of kidney","0",""
"2012","Liechtenstein","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis","0.00",""
"2012","Liechtenstein","Per hundred thousand inhabitants","Haemodialysis","0.00",""
"2012","Liechtenstein","Per hundred thousand inhabitants","Transplantation of kidney","0.00",""
"2012","Switzerland","Number","Transplantation of kidney and haemodialysis",":",""
"2012","Switzerland","Number","Haemodialysis",":",""
"2012","Switzerland","Number","Transplantation of kidney",":",""
"2012","Switzerland","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2012","Switzerland","Per hundred thousand inhabitants","Haemodialysis",":",""
"2012","Switzerland","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2012","United Kingdom","Number","Transplantation of kidney and haemodialysis","54 824",""
"2012","United Kingdom","Number","Haemodialysis","27 203",""
"2012","United Kingdom","Number","Transplantation of kidney","27 621",""
"2012","United Kingdom","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis","86.07",""
"2012","United Kingdom","Per hundred thousand inhabitants","Haemodialysis","42.70",""
"2012","United Kingdom","Per hundred thousand inhabitants","Transplantation of kidney","43.36",""
"2012","Serbia","Number","Transplantation of kidney and haemodialysis",":",""
"2012","Serbia","Number","Haemodialysis","4 713.00",""
"2012","Serbia","Number","Transplantation of kidney",":",""
"2012","Serbia","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2012","Serbia","Per hundred thousand inhabitants","Haemodialysis",":",""
"2012","Serbia","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2012","Turkey","Number","Transplantation of kidney and haemodialysis","60 635","d"
"2012","Turkey","Number","Haemodialysis","54 892",""
"2012","Turkey","Number","Transplantation of kidney","5 743","d"
"2012","Turkey","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis","80.66","d"
"2012","Turkey","Per hundred thousand inhabitants","Haemodialysis","73.02",""
"2012","Turkey","Per hundred thousand inhabitants","Transplantation of kidney","7.64","d"
"2013","Belgium","Number","Transplantation of kidney and haemodialysis",":",""
"2013","Belgium","Number","Haemodialysis",":",""
"2013","Belgium","Number","Transplantation of kidney",":",""
"2013","Belgium","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2013","Belgium","Per hundred thousand inhabitants","Haemodialysis",":",""
"2013","Belgium","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2013","Bulgaria","Number","Transplantation of kidney and haemodialysis","8 228",""
"2013","Bulgaria","Number","Haemodialysis","8 163",""
"2013","Bulgaria","Number","Transplantation of kidney","65",""
"2013","Bulgaria","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis","113.25",""
"2013","Bulgaria","Per hundred thousand inhabitants","Haemodialysis","112.36",""
"2013","Bulgaria","Per hundred thousand inhabitants","Transplantation of kidney","0.89",""
"2013","Czechia","Number","Transplantation of kidney and haemodialysis","11 609",""
"2013","Czechia","Number","Haemodialysis","7 322",""
"2013","Czechia","Number","Transplantation of kidney","4 287",""
"2013","Czechia","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis","110.41",""
"2013","Czechia","Per hundred thousand inhabitants","Haemodialysis","69.64",""
"2013","Czechia","Per hundred thousand inhabitants","Transplantation of kidney","40.77",""
"2013","Denmark","Number","Transplantation of kidney and haemodialysis",":",""
"2013","Denmark","Number","Haemodialysis",":",""
"2013","Denmark","Number","Transplantation of kidney",":",""
"2013","Denmark","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2013","Denmark","Per hundred thousand inhabitants","Haemodialysis",":",""
"2013","Denmark","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2013","Germany (until 1990 former territory of the FRG)","Number","Transplantation of kidney and haemodialysis",":",""
"2013","Germany (until 1990 former territory of the FRG)","Number","Haemodialysis",":",""
"2013","Germany (until 1990 former territory of the FRG)","Number","Transplantation of kidney",":",""
"2013","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2013","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Haemodialysis",":",""
"2013","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2013","Estonia","Number","Transplantation of kidney and haemodialysis",":",""
"2013","Estonia","Number","Haemodialysis",":",""
"2013","Estonia","Number","Transplantation of kidney","458",""
"2013","Estonia","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2013","Estonia","Per hundred thousand inhabitants","Haemodialysis",":",""
"2013","Estonia","Per hundred thousand inhabitants","Transplantation of kidney","34.75",""
"2013","Ireland","Number","Transplantation of kidney and haemodialysis","4 047",""
"2013","Ireland","Number","Haemodialysis","1 831",""
"2013","Ireland","Number","Transplantation of kidney","2 216",""
"2013","Ireland","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis","88.01",""
"2013","Ireland","Per hundred thousand inhabitants","Haemodialysis","39.82",""
"2013","Ireland","Per hundred thousand inhabitants","Transplantation of kidney","48.19",""
"2013","Greece","Number","Transplantation of kidney and haemodialysis",":",""
"2013","Greece","Number","Haemodialysis",":",""
"2013","Greece","Number","Transplantation of kidney",":",""
"2013","Greece","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2013","Greece","Per hundred thousand inhabitants","Haemodialysis",":",""
"2013","Greece","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2013","Spain","Number","Transplantation of kidney and haemodialysis","50 219","e"
"2013","Spain","Number","Haemodialysis","24 365","e"
"2013","Spain","Number","Transplantation of kidney","25 854","e"
"2013","Spain","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis","107.72","e"
"2013","Spain","Per hundred thousand inhabitants","Haemodialysis","52.26","e"
"2013","Spain","Per hundred thousand inhabitants","Transplantation of kidney","55.46","e"
"2013","France","Number","Transplantation of kidney and haemodialysis",":",""
"2013","France","Number","Haemodialysis",":",""
"2013","France","Number","Transplantation of kidney",":",""
"2013","France","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2013","France","Per hundred thousand inhabitants","Haemodialysis",":",""
"2013","France","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2013","Croatia","Number","Transplantation of kidney and haemodialysis",":",""
"2013","Croatia","Number","Haemodialysis",":",""
"2013","Croatia","Number","Transplantation of kidney",":",""
"2013","Croatia","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2013","Croatia","Per hundred thousand inhabitants","Haemodialysis",":",""
"2013","Croatia","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2013","Italy","Number","Transplantation of kidney and haemodialysis",":",""
"2013","Italy","Number","Haemodialysis",":",""
"2013","Italy","Number","Transplantation of kidney",":",""
"2013","Italy","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2013","Italy","Per hundred thousand inhabitants","Haemodialysis",":",""
"2013","Italy","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2013","Lithuania","Number","Transplantation of kidney and haemodialysis","2 671",""
"2013","Lithuania","Number","Haemodialysis","1 888",""
"2013","Lithuania","Number","Transplantation of kidney","783",""
"2013","Lithuania","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis","90.31",""
"2013","Lithuania","Per hundred thousand inhabitants","Haemodialysis","63.83",""
"2013","Lithuania","Per hundred thousand inhabitants","Transplantation of kidney","26.47",""
"2013","Luxembourg","Number","Transplantation of kidney and haemodialysis",":",""
"2013","Luxembourg","Number","Haemodialysis","329","e"
"2013","Luxembourg","Number","Transplantation of kidney",":",""
"2013","Luxembourg","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2013","Luxembourg","Per hundred thousand inhabitants","Haemodialysis","60.55","e"
"2013","Luxembourg","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2013","Hungary","Number","Transplantation of kidney and haemodialysis","9 868",""
"2013","Hungary","Number","Haemodialysis","6 821",""
"2013","Hungary","Number","Transplantation of kidney","3 047",""
"2013","Hungary","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis","99.75",""
"2013","Hungary","Per hundred thousand inhabitants","Haemodialysis","68.95",""
"2013","Hungary","Per hundred thousand inhabitants","Transplantation of kidney","30.80",""
"2013","Malta","Number","Transplantation of kidney and haemodialysis",":",""
"2013","Malta","Number","Haemodialysis","454",""
"2013","Malta","Number","Transplantation of kidney",":",""
"2013","Malta","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2013","Malta","Per hundred thousand inhabitants","Haemodialysis","107.23",""
"2013","Malta","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2013","Netherlands","Number","Transplantation of kidney and haemodialysis","15 415",""
"2013","Netherlands","Number","Haemodialysis","6 437",""
"2013","Netherlands","Number","Transplantation of kidney","8 978",""
"2013","Netherlands","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis","91.73",""
"2013","Netherlands","Per hundred thousand inhabitants","Haemodialysis","38.31",""
"2013","Netherlands","Per hundred thousand inhabitants","Transplantation of kidney","53.43",""
"2013","Austria","Number","Transplantation of kidney and haemodialysis","8 933",""
"2013","Austria","Number","Haemodialysis","4 423",""
"2013","Austria","Number","Transplantation of kidney","4 510",""
"2013","Austria","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis","105.35",""
"2013","Austria","Per hundred thousand inhabitants","Haemodialysis","52.16",""
"2013","Austria","Per hundred thousand inhabitants","Transplantation of kidney","53.19",""
"2013","Poland","Number","Transplantation of kidney and haemodialysis",":",""
"2013","Poland","Number","Haemodialysis","30 253",""
"2013","Poland","Number","Transplantation of kidney",":",""
"2013","Poland","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2013","Poland","Per hundred thousand inhabitants","Haemodialysis","79.53",""
"2013","Poland","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2013","Portugal","Number","Transplantation of kidney and haemodialysis",":",""
"2013","Portugal","Number","Haemodialysis","11 709",""
"2013","Portugal","Number","Transplantation of kidney",":",""
"2013","Portugal","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2013","Portugal","Per hundred thousand inhabitants","Haemodialysis","111.97",""
"2013","Portugal","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2013","Romania","Number","Transplantation of kidney and haemodialysis","13 445",""
"2013","Romania","Number","Haemodialysis","13 445",""
"2013","Romania","Number","Transplantation of kidney",":",""
"2013","Romania","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis","67.28",""
"2013","Romania","Per hundred thousand inhabitants","Haemodialysis","67.28",""
"2013","Romania","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2013","Slovakia","Number","Transplantation of kidney and haemodialysis","4 602",""
"2013","Slovakia","Number","Haemodialysis","3 258",""
"2013","Slovakia","Number","Transplantation of kidney","1 344",""
"2013","Slovakia","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis","85.01",""
"2013","Slovakia","Per hundred thousand inhabitants","Haemodialysis","60.18",""
"2013","Slovakia","Per hundred thousand inhabitants","Transplantation of kidney","24.83",""
"2013","Finland","Number","Transplantation of kidney and haemodialysis","4 483",""
"2013","Finland","Number","Haemodialysis","1 813",""
"2013","Finland","Number","Transplantation of kidney","2 670",""
"2013","Finland","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis","82.42",""
"2013","Finland","Per hundred thousand inhabitants","Haemodialysis","33.33",""
"2013","Finland","Per hundred thousand inhabitants","Transplantation of kidney","49.09",""
"2013","Iceland","Number","Transplantation of kidney and haemodialysis","221",""
"2013","Iceland","Number","Haemodialysis","72",""
"2013","Iceland","Number","Transplantation of kidney","149",""
"2013","Iceland","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis","68.26",""
"2013","Iceland","Per hundred thousand inhabitants","Haemodialysis","22.24",""
"2013","Iceland","Per hundred thousand inhabitants","Transplantation of kidney","46.02",""
"2013","Liechtenstein","Number","Transplantation of kidney and haemodialysis","0",""
"2013","Liechtenstein","Number","Haemodialysis","0",""
"2013","Liechtenstein","Number","Transplantation of kidney","0",""
"2013","Liechtenstein","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis","0.00",""
"2013","Liechtenstein","Per hundred thousand inhabitants","Haemodialysis","0.00",""
"2013","Liechtenstein","Per hundred thousand inhabitants","Transplantation of kidney","0.00",""
"2013","Switzerland","Number","Transplantation of kidney and haemodialysis",":",""
"2013","Switzerland","Number","Haemodialysis",":",""
"2013","Switzerland","Number","Transplantation of kidney",":",""
"2013","Switzerland","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2013","Switzerland","Per hundred thousand inhabitants","Haemodialysis",":",""
"2013","Switzerland","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2013","United Kingdom","Number","Transplantation of kidney and haemodialysis","56 940",""
"2013","United Kingdom","Number","Haemodialysis","27 348",""
"2013","United Kingdom","Number","Transplantation of kidney","29 592",""
"2013","United Kingdom","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis","88.82",""
"2013","United Kingdom","Per hundred thousand inhabitants","Haemodialysis","42.66",""
"2013","United Kingdom","Per hundred thousand inhabitants","Transplantation of kidney","46.16",""
"2013","Serbia","Number","Transplantation of kidney and haemodialysis",":",""
"2013","Serbia","Number","Haemodialysis",":",""
"2013","Serbia","Number","Transplantation of kidney",":",""
"2013","Serbia","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2013","Serbia","Per hundred thousand inhabitants","Haemodialysis",":",""
"2013","Serbia","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2013","Turkey","Number","Transplantation of kidney and haemodialysis","61 314","d"
"2013","Turkey","Number","Haemodialysis","52 675",""
"2013","Turkey","Number","Transplantation of kidney","8 639","d"
"2013","Turkey","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis","80.52","d"
"2013","Turkey","Per hundred thousand inhabitants","Haemodialysis","69.17",""
"2013","Turkey","Per hundred thousand inhabitants","Transplantation of kidney","11.35","d"
"2014","Belgium","Number","Transplantation of kidney and haemodialysis",":",""
"2014","Belgium","Number","Haemodialysis",":",""
"2014","Belgium","Number","Transplantation of kidney",":",""
"2014","Belgium","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2014","Belgium","Per hundred thousand inhabitants","Haemodialysis",":",""
"2014","Belgium","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2014","Bulgaria","Number","Transplantation of kidney and haemodialysis",":",""
"2014","Bulgaria","Number","Haemodialysis",":",""
"2014","Bulgaria","Number","Transplantation of kidney",":",""
"2014","Bulgaria","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2014","Bulgaria","Per hundred thousand inhabitants","Haemodialysis",":",""
"2014","Bulgaria","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2014","Czechia","Number","Transplantation of kidney and haemodialysis",":",""
"2014","Czechia","Number","Haemodialysis",":",""
"2014","Czechia","Number","Transplantation of kidney",":",""
"2014","Czechia","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2014","Czechia","Per hundred thousand inhabitants","Haemodialysis",":",""
"2014","Czechia","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2014","Denmark","Number","Transplantation of kidney and haemodialysis",":",""
"2014","Denmark","Number","Haemodialysis",":",""
"2014","Denmark","Number","Transplantation of kidney",":",""
"2014","Denmark","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2014","Denmark","Per hundred thousand inhabitants","Haemodialysis",":",""
"2014","Denmark","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2014","Germany (until 1990 former territory of the FRG)","Number","Transplantation of kidney and haemodialysis",":",""
"2014","Germany (until 1990 former territory of the FRG)","Number","Haemodialysis",":",""
"2014","Germany (until 1990 former territory of the FRG)","Number","Transplantation of kidney",":",""
"2014","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2014","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Haemodialysis",":",""
"2014","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2014","Estonia","Number","Transplantation of kidney and haemodialysis",":",""
"2014","Estonia","Number","Haemodialysis",":",""
"2014","Estonia","Number","Transplantation of kidney",":",""
"2014","Estonia","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2014","Estonia","Per hundred thousand inhabitants","Haemodialysis",":",""
"2014","Estonia","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2014","Ireland","Number","Transplantation of kidney and haemodialysis","4 176","e"
"2014","Ireland","Number","Haemodialysis","1 906","e"
"2014","Ireland","Number","Transplantation of kidney","2 270","e"
"2014","Ireland","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":","e"
"2014","Ireland","Per hundred thousand inhabitants","Haemodialysis",":","e"
"2014","Ireland","Per hundred thousand inhabitants","Transplantation of kidney",":","e"
"2014","Greece","Number","Transplantation of kidney and haemodialysis",":",""
"2014","Greece","Number","Haemodialysis",":",""
"2014","Greece","Number","Transplantation of kidney",":",""
"2014","Greece","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2014","Greece","Per hundred thousand inhabitants","Haemodialysis",":",""
"2014","Greece","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2014","Spain","Number","Transplantation of kidney and haemodialysis",":",""
"2014","Spain","Number","Haemodialysis",":",""
"2014","Spain","Number","Transplantation of kidney",":",""
"2014","Spain","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2014","Spain","Per hundred thousand inhabitants","Haemodialysis",":",""
"2014","Spain","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2014","France","Number","Transplantation of kidney and haemodialysis",":",""
"2014","France","Number","Haemodialysis",":",""
"2014","France","Number","Transplantation of kidney",":",""
"2014","France","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2014","France","Per hundred thousand inhabitants","Haemodialysis",":",""
"2014","France","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2014","Croatia","Number","Transplantation of kidney and haemodialysis",":",""
"2014","Croatia","Number","Haemodialysis",":",""
"2014","Croatia","Number","Transplantation of kidney",":",""
"2014","Croatia","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2014","Croatia","Per hundred thousand inhabitants","Haemodialysis",":",""
"2014","Croatia","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2014","Italy","Number","Transplantation of kidney and haemodialysis",":",""
"2014","Italy","Number","Haemodialysis",":",""
"2014","Italy","Number","Transplantation of kidney",":",""
"2014","Italy","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2014","Italy","Per hundred thousand inhabitants","Haemodialysis",":",""
"2014","Italy","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2014","Lithuania","Number","Transplantation of kidney and haemodialysis",":",""
"2014","Lithuania","Number","Haemodialysis",":",""
"2014","Lithuania","Number","Transplantation of kidney",":",""
"2014","Lithuania","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2014","Lithuania","Per hundred thousand inhabitants","Haemodialysis",":",""
"2014","Lithuania","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2014","Luxembourg","Number","Transplantation of kidney and haemodialysis",":",""
"2014","Luxembourg","Number","Haemodialysis",":",""
"2014","Luxembourg","Number","Transplantation of kidney",":",""
"2014","Luxembourg","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2014","Luxembourg","Per hundred thousand inhabitants","Haemodialysis",":",""
"2014","Luxembourg","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2014","Hungary","Number","Transplantation of kidney and haemodialysis",":",""
"2014","Hungary","Number","Haemodialysis",":",""
"2014","Hungary","Number","Transplantation of kidney",":",""
"2014","Hungary","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2014","Hungary","Per hundred thousand inhabitants","Haemodialysis",":",""
"2014","Hungary","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2014","Malta","Number","Transplantation of kidney and haemodialysis",":",""
"2014","Malta","Number","Haemodialysis","519","b"
"2014","Malta","Number","Transplantation of kidney",":",""
"2014","Malta","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2014","Malta","Per hundred thousand inhabitants","Haemodialysis",":","b"
"2014","Malta","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2014","Netherlands","Number","Transplantation of kidney and haemodialysis","15 923",""
"2014","Netherlands","Number","Haemodialysis","6 463",""
"2014","Netherlands","Number","Transplantation of kidney","9 460",""
"2014","Netherlands","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2014","Netherlands","Per hundred thousand inhabitants","Haemodialysis",":",""
"2014","Netherlands","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2014","Austria","Number","Transplantation of kidney and haemodialysis",":",""
"2014","Austria","Number","Haemodialysis",":",""
"2014","Austria","Number","Transplantation of kidney",":",""
"2014","Austria","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2014","Austria","Per hundred thousand inhabitants","Haemodialysis",":",""
"2014","Austria","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2014","Poland","Number","Transplantation of kidney and haemodialysis",":",""
"2014","Poland","Number","Haemodialysis",":",""
"2014","Poland","Number","Transplantation of kidney",":",""
"2014","Poland","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2014","Poland","Per hundred thousand inhabitants","Haemodialysis",":",""
"2014","Poland","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2014","Portugal","Number","Transplantation of kidney and haemodialysis",":",""
"2014","Portugal","Number","Haemodialysis","12 085",""
"2014","Portugal","Number","Transplantation of kidney",":",""
"2014","Portugal","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2014","Portugal","Per hundred thousand inhabitants","Haemodialysis",":",""
"2014","Portugal","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2014","Romania","Number","Transplantation of kidney and haemodialysis",":",""
"2014","Romania","Number","Haemodialysis",":",""
"2014","Romania","Number","Transplantation of kidney",":",""
"2014","Romania","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2014","Romania","Per hundred thousand inhabitants","Haemodialysis",":",""
"2014","Romania","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2014","Slovakia","Number","Transplantation of kidney and haemodialysis",":",""
"2014","Slovakia","Number","Haemodialysis",":",""
"2014","Slovakia","Number","Transplantation of kidney",":",""
"2014","Slovakia","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2014","Slovakia","Per hundred thousand inhabitants","Haemodialysis",":",""
"2014","Slovakia","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2014","Finland","Number","Transplantation of kidney and haemodialysis",":",""
"2014","Finland","Number","Haemodialysis",":",""
"2014","Finland","Number","Transplantation of kidney",":",""
"2014","Finland","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2014","Finland","Per hundred thousand inhabitants","Haemodialysis",":",""
"2014","Finland","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2014","Iceland","Number","Transplantation of kidney and haemodialysis","223",""
"2014","Iceland","Number","Haemodialysis","72",""
"2014","Iceland","Number","Transplantation of kidney","151",""
"2014","Iceland","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2014","Iceland","Per hundred thousand inhabitants","Haemodialysis",":",""
"2014","Iceland","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2014","Liechtenstein","Number","Transplantation of kidney and haemodialysis","0",""
"2014","Liechtenstein","Number","Haemodialysis","0",""
"2014","Liechtenstein","Number","Transplantation of kidney","0",""
"2014","Liechtenstein","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2014","Liechtenstein","Per hundred thousand inhabitants","Haemodialysis",":",""
"2014","Liechtenstein","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2014","Switzerland","Number","Transplantation of kidney and haemodialysis",":",""
"2014","Switzerland","Number","Haemodialysis",":",""
"2014","Switzerland","Number","Transplantation of kidney",":",""
"2014","Switzerland","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2014","Switzerland","Per hundred thousand inhabitants","Haemodialysis",":",""
"2014","Switzerland","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2014","United Kingdom","Number","Transplantation of kidney and haemodialysis",":",""
"2014","United Kingdom","Number","Haemodialysis",":",""
"2014","United Kingdom","Number","Transplantation of kidney",":",""
"2014","United Kingdom","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2014","United Kingdom","Per hundred thousand inhabitants","Haemodialysis",":",""
"2014","United Kingdom","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2014","Serbia","Number","Transplantation of kidney and haemodialysis",":",""
"2014","Serbia","Number","Haemodialysis",":",""
"2014","Serbia","Number","Transplantation of kidney",":",""
"2014","Serbia","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2014","Serbia","Per hundred thousand inhabitants","Haemodialysis",":",""
"2014","Serbia","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2014","Turkey","Number","Transplantation of kidney and haemodialysis",":",""
"2014","Turkey","Number","Haemodialysis",":",""
"2014","Turkey","Number","Transplantation of kidney",":",""
"2014","Turkey","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2014","Turkey","Per hundred thousand inhabitants","Haemodialysis",":",""
"2014","Turkey","Per hundred thousand inhabitants","Transplantation of kidney",":",""
