"TIME","Pais","Generalist_medical_practitioners","Specialist_medical_practitioners","General_paediatricians","AGE_Total","AGE_Less_35","AGE_35_44","AGE_45_54","AGE_55_64"
2012,"Cyprus",735,2311,242,3046,311,704,690,879
2012,"Latvia",1338,5058,249,6396,661,1055,1972,1664
2012,"Lithuania",2697,9907,835,13552,2778,2232,3507,3295
2012,"Luxembourg",441,1048,83,1489,76,332,553,411
2012,"Hungary",7096,25615,2371,30641,4979,5761,7283,7835
2012,"Malta",335,659,63,1381,573,240,362,136
2012,"Netherlands",24135,30376,1556,54511,15240,13244,12663,11543
2012,"Austria",13657,21107,1234,41268,7412,10310,13289,8273
2012,"Poland",12645,72380,4880,85025,4208,7898,8641,9240
2012,"Portugal",22125,22465,1773,43123,4208,7898,8641,9240
2012,"Romania",16741,35621,2402,52362,15763,13173,11568,10461
2012,"Slovenia",1127,3948,524,5228,1159,1346,1374,1100
2012,"Finland",6604,10454,788,18193,3678,4399,3633,5034
2012,"Sweden",6106,20564,995,17790,3511,4463,5284,4532
2012,"Iceland",184,703,14,37769,6945,9555,8129,9303
2012,"Liechtenstein",37,79,5,1142,175,177,323,331
2012,"Norway",4317,8484,673,116,2,28,38,39
2012,"Switzerland",8618,17958,1473,21238,5515,5759,4246,4056
2012,"United Kingdom",50008,122061,9339,31313,3488,8370,9265,7849
2012,"Montenegro",204,1072,169,170580,56471,50887,40298,19416
2012,"North Macedonia",2063,3692,394,1276,242,367,434,233
2012,"Albania",7386,2093,1378,5755,1040,1299,1740,1676
2012,"Serbia",6495,15820,2016,22315,3260,6406,7329,5206
2012,"Turkey",41401,88371,6724,129772,42386,40674,26668,11092
2013,"Belgium",12483,20108,1414,32999,2457,7946,8337,9446
2013,"Bulgaria",4781,24110,1448,29038,2943,3709,9456,9061
2013,"Czechia",7371,31405,1296,38776,7298,8555,8508,10088
2013,"Denmark",4455,9358,408,21614,4170,5725,4533,5074
2013,"Germany (until 1990 former territory of the FRG)",78608,246799,13227,325407,62703,38966,86349,124023
2013,"Estonia",1052,3343,179,4395,731,654,1110,1169
2013,"Ireland",10781,7346,453,18160,5115,5102,4051,2661
2013,"Greece",3494,41783,3326,63736,10859,21708,14621,12599
2013,"Spain",35017,112464,11896,177665,36566,47167,48566,38700
2013,"France",93944,110185,7585,204129,20188,38032,55586,71459
2013,"Croatia",3335,9571,788,12906,2827,2973,3724,3068
2013,"Italy",53525,181393,17472,234918,20545,38008,61033,96582
2013,"Cyprus",735,2311,242,3046,311,704,690,879
2013,"Latvia",1357,5066,255,6423,749,977,1904,1705
2013,"Lithuania",2709,9941,796,13570,2773,2136,3446,3421
2013,"Luxembourg",467,1070,81,1537,72,355,532,457
2013,"Hungary",7096,25615,2371,31748,6074,5762,7296,7804
2013,"Malta",340,708,59,1466,619,261,364,143
2013,"Netherlands",24498,31183,1603,55681,15841,13582,12461,11763
2013,"Austria",13924,22180,1292,42302,7232,10628,12975,8942
2013,"Poland",12846,72400,5008,85246,4170,7946,8337,9446
2013,"Portugal",22744,23266,1861,44555,4170,7946,8337,9446
2013,"Romania",15923,36905,2452,52828,15353,13152,11883,10954
2013,"Slovenia",1204,4087,540,5416,1220,1391,1376,1163
