"TIME","Pais","Gasto_Cuidado_Rehabilitacion","Gasto_Cuidado_Rehabilitacion_Ingresados","Gasto_Hospitales","Gasto_Hospitales_Mentales","Gasto_Hospitales_Especiales"
2012,"Belgium",21012.56,11355.74,13639.85,1710.05,66.65
2012,"Bulgaria",1608.72,1038.25,1115.41,14.5,249.81
2012,"Czechia",6545.97,2982.27,4971.52,173.28,333.75
2012,"Denmark",14765.03,7162.92,11487.69,1039.49,0
2012,"Germany (until 1990 former territory of the FRG)",154062,82352,86930,1039.49,8686
2012,"Estonia",590.42,270.16,494.23,2.8,29.95
2012,"Ireland",9955.94,4500.24,6533.87,264.26,705.11
2012,"Greece",10340.96,7097.67,7611.27,332.36,709.28
2012,"Spain",54581.13,23051.63,39914.26,751.72,2078.01
2012,"France",124822.41,66410.25,89646.33,13454.33,352.66
2012,"Croatia",1623.96,692.84,1286,43.57,96.01
2012,"Italy",79760,42348,65954,1039.49,66.65
2012,"Cyprus",820.81,391.02,576.23,14.64,84.47
2012,"Latvia",639.95,291.9,443.65,35.8,62.82
2012,"Lithuania",1098.03,624.19,742.86,15.89,90.68
2012,"Luxembourg",1361.01,652.62,759.42,38.36,52.19
2012,"Hungary",3781.18,1909.96,2515.62,37.89,183.5
2012,"Malta",442.28,207.39,385.21,25.38,25.49
2012,"Netherlands",33085.28,13035.33,21843.44,4102.67,890.2
2012,"Austria",19321.18,11067.97,12747.46,1039.49,1410.35
2012,"Poland",15478.29,8686.14,9118.38,420.95,484.43
2012,"Portugal",10236.64,2865.44,6488.64,124.66,66.65
2012,"Romania",3008.9,1675.25,2366.4,67.8,298.3
2012,"Slovenia",1910.05,910.51,1359.81,51.01,244.51
2012,"Slovakia",2657.63,1200.14,1463.44,31.53,1.01
2012,"Finland",10811.9,4668.58,6541.27,6.55,66.65
2012,"Sweden",24020.4,9802.62,17679.6,1039.49,66.65
2012,"Iceland",527.56,245.83,351.73,0,0
2012,"Liechtenstein",177.86,79.41,27.9,0,0
2012,"Norway",17084.32,9525.89,13657.74,3137.22,0
2012,"Switzerland",29948.06,14961.87,20148.98,1595.12,2179.23
2012,"United Kingdom",126551.13,53271.07,93210.11,1039.49,66.65
2012,"Bosnia and Herzegovina",763.08,410.5,475.8,3.67,29.79
2013,"Belgium",21494.72,11636.22,14005.61,1763.96,73.58
2013,"Bulgaria",1609.06,1047.44,1146.93,21.01,238.84
2013,"Czechia",6689.46,3180.03,4969.89,154.65,310.91
2013,"Denmark",14787.85,7184.58,11734.8,1072.54,0
2013,"Germany (until 1990 former territory of the FRG)",159571,85135,90262,154.65,8685
2013,"Estonia",650.58,282.84,540.41,2.97,28.14
2013,"Ireland",9968.09,4409.36,6535.34,278.47,693.26
2013,"Greece",9322.54,6130.85,6703.2,286.35,559.01
2013,"Spain",52735.09,22238.48,38500.55,728.24,2007.23
2013,"France",128501.19,68072.85,91690.9,13403.95,364.18
2013,"Croatia",1521.82,684.13,1230.08,43.57,96.01
2013,"Italy",78223,41034,64715,154.65,238.84
2013,"Cyprus",801.67,378.69,572.99,13.42,88.56
2013,"Latvia",610.66,293.54,443.65,41.37,62.82
2013,"Lithuania",1136.58,603.61,727.21,38.24,71.24
2013,"Luxembourg",1407.85,667.33,786.48,40.98,52.61
2013,"Hungary",3897.18,1962.09,2720.58,6.49,228.21
2013,"Malta",442.28,207.39,385.21,25.38,25.49
2013,"Netherlands",34107.44,13240,22602.77,3920.43,949.63
2013,"Austria",19679.76,11089.93,12815,154.65,1485.39
2013,"Poland",15038.47,8478.03,8873.59,408.48,465.46
2013,"Portugal",10227.9,2849.05,6521.5,122.78,238.84
2013,"Romania",3428.09,1987.23,2716.61,88.99,405.28
2013,"Slovenia",1910.05,910.51,1359.81,51.01,244.51
2013,"Slovakia",2752.49,1326.96,1535.71,36.48,1.04
2013,"Finland",11431.93,4893.7,6828.42,6.83,238.84
2013,"Sweden",24848.87,10115.93,18541.29,154.65,238.84
2013,"Iceland",560.61,257.19,376.49,0,0
2013,"Liechtenstein",174.11,79.41,27.9,0,0
2013,"Norway",17274.65,9553.72,13873.72,3261.3,0
2013,"Switzerland",30592.47,15245.48,20584.24,1701.54,2275.73
2013,"United Kingdom",115369.67,48593.48,84315.37,154.65,238.84
2013,"Bosnia and Herzegovina",745.06,397.73,457,3.56,28.66
2014,"Belgium",22079.94,11818.86,14230.13,1834.53,72.11
2014,"Bulgaria",1775.25,1116.77,1270.19,22.02,272.77
2014,"Czechia",6438.1,2982.27,4971.52,173.28,333.75
2014,"Denmark",15128.91,7233.54,12015.68,1101.82,0
2014,"Germany (until 1990 former territory of the FRG)",165640,88615,93989,173.28,8981
2014,"Estonia",710.3,303.97,585.6,3.32,25.93
2014,"Ireland",10081.61,4591.09,6662.75,286.53,716.39
2014,"Greece",8612.36,5898.35,6272.13,355.55,546.19
2014,"Spain",53715.02,23072.56,39845.77,759.25,2127.5
2014,"France",132228.26,69519.87,95418.11,13607.77,387.5
2014,"Croatia",1623.96,692.84,1286,43.3,79.63
2014,"Italy",79951,40795,65633,173.28,272.77
